ID,Square_Feet,Num_Bedrooms,Num_Bathrooms,Num_Floors,Year_Built,Has_Garden,Has_Pool,Garage_Size,Location_Score,Distance_to_Center,Price
407,147.3,3,2,1,1901,1,0,48,5.95,12.47,437797.49
408,52.71,2,2,2,1959,0,1,37,3.72,12.01,444555.31
409,276.35,3,2,2,1947,0,1,44,3.33,1.07,721719.2
410,72.82,1,1,2,1928,0,1,27,8.85,7.53,298871.67
411,129.83,3,1,1,1996,1,0,23,3.83,4.64,523626.39
412,287.52,3,3,1,1909,0,1,44,4.94,5.31,689922.95
413,287.65,4,2,2,2013,1,0,16,2.83,11.09,758604.95
414,193.36,3,1,1,1957,0,0,22,7.87,3.99,551089.07
415,207.96,3,2,1,1959,0,1,27,3.97,5.88,608749.3
416,162.11,1,3,2,2003,0,1,46,5.14,4.74,635614.2
417,123.3,4,1,1,1920,0,1,22,2.53,18.97,450007.5
418,132.17,5,1,3,1927,0,0,45,9.88,18.89,554821.13
419,218.13,1,1,3,1974,1,1,40,2.91,12.2,585468.45
420,238.09,1,3,3,2018,1,0,11,7.71,18.49,657042.15
421,247.89,5,2,3,1933,0,1,25,4.27,15.72,716120.01
422,247.4,3,1,2,1907,0,1,18,2.06,11.8,576984.36
423,72.8,2,3,2,1958,0,0,18,8.0,0.13,428108.09
424,173.61,4,2,2,1985,0,0,47,3.34,15.45,589025.66
425,64.39,2,3,3,1971,1,0,20,8.65,14.05,517683.8
426,187.38,5,2,3,1948,0,0,31,9.15,12.31,669863.66
427,160.38,1,3,1,1978,1,0,42,8.6,15.21,516021.38
428,271.93,1,2,1,1916,0,0,45,0.35,10.26,445001.43
429,137.73,4,1,3,1959,1,1,32,7.87,14.08,628041.06
430,79.27,1,2,3,1986,0,1,43,4.11,18.7,439102.99
431,85.75,1,3,3,1987,0,0,18,8.74,7.52,442965.52
432,240.38,4,3,3,1944,1,1,33,6.38,14.16,774245.69
433,204.55,4,2,1,1982,0,0,17,8.34,9.51,639169.41
434,75.28,5,1,3,1968,0,1,16,4.99,13.49,595883.52
435,71.03,1,1,1,1931,0,1,45,5.35,15.26,318416.12
436,225.24,1,2,3,1943,1,0,27,1.44,0.91,503593.32
437,68.19,5,2,3,1964,0,0,12,7.84,12.93,561696.53
438,255.47,3,3,3,1986,0,0,37,4.19,4.53,725008.08
439,226.56,3,1,1,2000,1,1,15,5.0,13.4,649930.05
440,70.34,3,2,1,1907,1,0,30,7.85,9.37,405147.5
441,71.21,5,1,2,1976,1,1,37,5.99,15.47,618783.08
442,296.66,1,2,3,1971,0,0,49,2.01,2.47,619127.8
443,143.57,5,2,2,2020,0,1,10,5.9,12.53,720915.09
444,142.66,5,1,2,1986,0,1,45,4.08,5.57,675344.62
445,253.2,3,2,1,1942,1,0,30,4.7,17.06,635332.25
446,286.81,2,2,1,1900,0,1,44,0.28,18.57,531774.74
447,296.5,1,3,2,2008,0,1,22,2.1,19.93,659323.22
448,238.34,3,2,3,1950,1,0,19,2.81,15.92,620313.47
449,144.06,2,2,1,1923,1,1,19,7.13,15.07,484303.86
450,70.88,2,2,3,1998,1,0,22,0.11,4.31,485180.12
451,244.29,4,3,3,1923,1,0,46,4.09,6.72,739265.74
452,189.6,1,1,2,1916,1,0,47,9.24,9.31,407318.84
453,156.06,2,3,2,1904,0,0,33,1.12,15.47,359887.85
454,276.59,3,3,2,1919,1,1,11,5.16,18.3,670521.53
455,77.8,4,1,2,1920,0,1,31,7.87,3.78,496089.85
456,173.16,1,3,1,2003,0,1,26,9.43,18.45,507098.14
457,52.84,5,1,1,1957,1,0,45,7.47,13.91,510380.74
458,167.17,3,3,2,1930,1,1,23,7.21,12.22,586589.36
459,64.08,2,1,1,2009,1,1,19,8.26,4.0,482067.65
460,79.7,2,2,2,1999,0,0,44,4.46,1.11,472072.7
461,79.38,3,3,3,1910,1,0,34,8.06,11.37,487850.95
462,212.3,2,3,3,1951,1,1,12,0.08,13.03,584792.07
463,236.51,4,3,3,1914,1,0,47,9.25,4.22,702645.57
464,195.84,1,3,2,1982,1,0,26,4.43,11.13,522373.16
465,290.54,4,2,3,1906,1,0,21,5.53,17.13,689330.6
466,143.72,2,3,1,2014,0,0,33,2.55,16.7,545751.77
467,121.43,5,2,3,1927,0,1,38,7.43,18.55,570113.23
468,267.15,1,2,3,1950,0,0,34,0.77,7.32,515701.34
469,105.9,1,2,3,2006,1,0,45,8.73,6.36,551379.12
470,290.81,3,2,1,1957,1,0,35,8.28,14.99,708362.29
471,53.04,3,1,2,1904,1,0,47,2.16,8.62,366413.9
472,292.47,5,1,1,1904,0,0,10,8.09,1.75,638320.32
473,60.79,1,3,2,1993,1,0,29,7.86,5.66,428668.28
474,272.79,5,1,2,2017,1,0,37,6.32,8.37,867558.3
475,181.93,3,1,3,1995,1,0,25,3.74,5.85,620462.69
476,298.24,3,3,2,1907,0,1,26,2.71,6.64,666405.15
477,68.45,1,3,1,1963,1,0,49,2.32,5.88,398238.88
478,188.46,4,3,1,1909,0,1,37,3.19,0.83,586123.46
479,292.33,2,1,2,1937,1,0,21,9.04,12.74,595804.77
480,180.77,3,1,3,2010,0,0,36,0.78,11.95,606293.98
481,207.35,3,3,3,1995,0,0,39,8.29,13.07,695642.11
482,223.94,4,2,1,2011,0,0,43,3.49,3.85,732611.4
483,163.64,4,3,3,1991,1,1,46,5.22,5.91,762909.06
484,206.89,5,2,2,1980,1,0,15,7.94,12.39,731449.11
485,196.08,5,2,2,1994,0,0,16,8.84,11.99,723834.85
486,275.29,2,3,1,1907,0,1,41,3.45,10.13,549076.81
487,61.36,2,3,2,2003,1,1,41,4.62,7.01,574795.31
488,120.24,1,3,1,1924,1,0,34,4.15,18.26,379122.26
489,287.6,5,1,2,1972,0,1,42,0.13,6.8,788609.99
490,272.57,3,2,1,1965,1,1,16,2.96,9.11,691956.03
491,163.91,5,1,3,1978,1,1,21,4.59,13.56,728995.98
492,205.03,3,1,2,1949,1,0,25,4.11,10.86,544610.97
493,119.35,4,3,2,1966,1,0,25,7.22,6.94,619610.37
494,97.03,5,1,1,1948,0,0,45,3.85,8.71,492310.61
495,165.92,4,3,1,1935,1,1,22,4.89,15.89,622815.46
496,138.34,2,2,2,1967,1,0,16,4.3,5.56,488496.35
497,195.91,2,3,1,1977,0,1,45,7.41,2.85,657736.92
498,69.43,1,1,2,2004,0,0,18,8.63,6.26,405324.95
499,293.6,5,1,3,1940,1,0,41,5.32,16.99,773035.97
500,296.55,4,3,1,1988,1,1,20,7.89,1.78,864299.5
